brand,category,launch_year,sale_year,age_at_sale,condition,condition_score,new_price_inr,resale_price_inr
Sony,Camera Body,2021,2021,0,New (Open Box),6,234990,189500
Sony,Camera Body,2021,2021,0,Like New,5,234990,155000
Sony,Camera Body,2021,2021,0,Excellent,4,234990,147000
Sony,Camera Body,2021,2021,0,Good,3,234990,120000
Sony,Camera Body,2021,2021,0,Fair,2,234990,69500
Sony,Camera Body,2021,2022,1,New (Open Box),6,234990,144500
Sony,Camera Body,2021,2022,1,Like New,5,234990,140000
Sony,Camera Body,2021,2022,1,Excellent,4,234990,116000
Sony,Camera Body,2021,2022,1,Good,3,234990,95500
Sony,Camera Body,2021,2022,1,Fair,2,234990,62500
Sony,Camera Body,2021,2023,2,Excellent,4,234990,106000
Sony,Camera Body,2021,2023,2,Good,3,234990,85000
Sony,Camera Body,2021,2023,2,Fair,2,234990,56500
Sony,Camera Body,2021,2023,2,For Parts,1,234990,28500
Sony,Camera Body,2021,2024,3,Excellent,4,234990,88500
Sony,Camera Body,2021,2024,3,Good,3,234990,66000
Sony,Camera Body,2021,2024,3,Fair,2,234990,49500
Sony,Camera Body,2021,2024,3,For Parts,1,234990,21500
Sony,Camera Body,2021,2025,4,Excellent,4,234990,77500
Sony,Camera Body,2021,2025,4,Good,3,234990,59500
Sony,Camera Body,2021,2025,4,Fair,2,234990,40500
Sony,Camera Body,2021,2025,4,For Parts,1,234990,18500
Sony,Camera Body,2019,2021,2,Excellent,4,159990,73500
Sony,Camera Body,2019,2021,2,Good,3,159990,55000
Sony,Camera Body,2019,2021,2,Fair,2,159990,37500
Sony,Camera Body,2019,2021,2,For Parts,1,159990,18000
Sony,Camera Body,2019,2022,3,Excellent,4,159990,60500
Sony,Camera Body,2019,2022,3,Good,3,159990,48500
Sony,Camera Body,2019,2022,3,Fair,2,159990,33500
Sony,Camera Body,2019,2022,3,For Parts,1,159990,16000
Sony,Camera Body,2019,2023,4,Excellent,4,159990,56500
Sony,Camera Body,2019,2023,4,Good,3,159990,39500
Sony,Camera Body,2019,2023,4,Fair,2,159990,27000
Sony,Camera Body,2019,2023,4,For Parts,1,159990,12500
Sony,Camera Body,2019,2024,5,Excellent,4,159990,44000
Sony,Camera Body,2019,2024,5,Good,3,159990,36500
Sony,Camera Body,2019,2024,5,Fair,2,159990,23500
Sony,Camera Body,2019,2024,5,For Parts,1,159990,10500
Sony,Camera Body,2019,2025,6,Excellent,4,159990,34000
Sony,Camera Body,2019,2025,6,Good,3,159990,30000
Sony,Camera Body,2019,2025,6,Fair,2,159990,21000
Sony,Camera Body,2019,2025,6,For Parts,1,159990,10000
Sony,Camera Body,2022,2022,0,New (Open Box),6,84990,64500
Sony,Camera Body,2022,2022,0,Like New,5,84990,60500
Sony,Camera Body,2022,2022,0,Excellent,4,84990,51000
Sony,Camera Body,2022,2022,0,Good,3,84990,41500
Sony,Camera Body,2022,2022,0,Fair,2,84990,30000
Sony,Camera Body,2022,2023,1,New (Open Box),6,84990,57500
Sony,Camera Body,2022,2023,1,Like New,5,84990,52500
Sony,Camera Body,2022,2023,1,Excellent,4,84990,43000
Sony,Camera Body,2022,2023,1,Good,3,84990,35000
Sony,Camera Body,2022,2023,1,Fair,2,84990,25000
Sony,Camera Body,2022,2024,2,Excellent,4,84990,33000
Sony,Camera Body,2022,2024,2,Good,3,84990,29000
Sony,Camera Body,2022,2024,2,Fair,2,84990,20000
Sony,Camera Body,2022,2024,2,For Parts,1,84990,9500
Sony,Camera Body,2022,2025,3,Excellent,4,84990,30500
Sony,Camera Body,2022,2025,3,Good,3,84990,27500
Sony,Camera Body,2022,2025,3,Fair,2,84990,16500
Sony,Camera Body,2022,2025,3,For Parts,1,84990,8500
Sony,Camera Body,2020,2021,1,New (Open Box),6,299990,179500
Sony,Camera Body,2020,2021,1,Like New,5,299990,174000
Sony,Camera Body,2020,2021,1,Excellent,4,299990,152500
Sony,Camera Body,2020,2021,1,Good,3,299990,126500
Sony,Camera Body,2020,2021,1,Fair,2,299990,88000
